"V1","V2","V3","V4","V5","V6"
"RMSE","0","0.0951879059257241","0.0664334396614361","0.0519929430506635","0.0800503965942309"
"CitL","-0.00052838055950083","-0.0774213323223502","0.0577904322455075","-0.00317446566245208","-0.000181365761849933"
"Eavg-B","0.00320044671085665","0.0783607250748328","0.0571385612509666","0.0683443010556998","0.0418376965259169"
"E50-B","0.0027999471271795","0.0735114893406584","0.0519153090704267","0.0448159059964473","0.0331802753283174"
"E90-B","0.00581245959077267","0.108125384760984","0.0723281002847036","0.168496232190544","0.084500596077658"
"CE-B","0.752258918027255","0.779437162835619","0.760612215816004","0.797294148265994","0.766558800774917"
"Brier-B","0.218616466784013","0.222164944950057","0.220212672120252","0.2291998227643","0.221192522238921"
"C-B","0.639481687871338","0.631589898521312","0.634820650637286","0.634085298157242","0.627806079620646"
