"V1","V2","V3","V4","V5","V6"
"RMSE","0","0.0586535426807413","0.0330223263872474","0.0331278482183445","0.117116003957101"
"CitL","-0.000811157206216342","-0.0533516431864337","0.0295930536741198","-0.00220576694777713","-0.00367746673797743"
"Eavg-B","0.00475583727875989","0.0529026816957668","0.0290113078079098","0.0541744633106397","0.066371729941277"
"E50-B","0.00280672614853543","0.0478526847122289","0.0283968874324205","0.0241995428006954","0.054146104458411"
"E90-B","0.00932378128779182","0.0665545981718763","0.0380466916865183","0.15634090508754","0.134318219319786"
"CE-B","0.816633688505511","0.824723368370319","0.818336130697157","0.865786382081634","0.842207074103381"
"Brier-B","0.237528191809392","0.239071905938067","0.237881336773445","0.248858801604169","0.242835099304554"
"C-B","0.632450033417661","0.630606901525054","0.631616423905954","0.626444657519873","0.614892626209305"
